OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095274,Sample-Routine,Water,,2013-05-28,12:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.69,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099565,Sample-Routine,Water,,2013-09-09,14:55:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.83,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098865,Sample-Routine,Water,,2013-09-09,14:20:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.24,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096785,Sample-Routine,Water,,2013-11-14,14:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.96,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096769,Sample-Routine,Water,,2013-03-12,12:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.81,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097804,Sample-Routine,Water,,2013-08-19,14:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.23,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098858,Sample-Routine,Water,,2013-05-30,16:00:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.2,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098851,Sample-Routine,Water,,2013-02-21,16:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.25,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098860,Sample-Routine,Water,,2013-06-13,16:45:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,11.57,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095270,Sample-Routine,Water,,2013-03-12,11:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.4,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099555,Sample-Routine,Water,,2013-04-15,13:50:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.19,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097805,Sample-Routine,Water,,2013-08-26,14:45:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.94,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097791,Sample-Routine,Water,,2013-01-15,14:50:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.38,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097811,Sample-Routine,Water,,2013-11-14,14:32:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.56,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095269,Sample-Routine,Water,,2013-03-04,14:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.1,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097810,Sample-Routine,Water,,2013-11-12,14:20:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.67,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097792,Sample-Routine,Water,,2013-02-21,15:30:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.09,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096775,Sample-Routine,Water,,2013-06-03,12:46:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.48,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098866,Sample-Routine,Water,,2013-10-23,14:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.84,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096776,Sample-Routine,Water,,2013-06-13,15:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,11.37,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097796,Sample-Routine,Water,,2013-03-26,12:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.49,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099561,Sample-Routine,Water,,2013-08-19,15:35:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.08,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099560,Sample-Routine,Water,,2013-07-25,14:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.79,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098857,Sample-Routine,Water,,2013-05-28,15:00:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,7.13,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096773,Sample-Routine,Water,,2013-05-28,14:00:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.05,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099552,Sample-Routine,Water,,2013-03-12,14:00:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.79,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097799,Sample-Routine,Water,,2013-05-30,15:20:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.86,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098859,Sample-Routine,Water,,2013-06-03,13:37:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,5.74,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099558,Sample-Routine,Water,,2013-06-03,14:12:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,5.59,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096771,Sample-Routine,Water,,2013-03-26,12:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,11.28,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096766,Sample-Routine,Water,,2013-01-15,13:55:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.06,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097801,Sample-Routine,Water,,2013-06-03,13:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.43,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097803,Sample-Routine,Water,,2013-07-25,13:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4329,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,6.53,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096777,Sample-Routine,Water,,2013-07-25,12:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.63,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00099550,Sample-Routine,Water,,2013-02-21,17:05:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3960,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.39,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00098852,Sample-Routine,Water,,2013-03-04,16:40:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3945,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.27,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096783,Sample-Routine,Water,,2013-10-23,13:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.56,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00096782,Sample-Routine,Water,,2013-09-09,13:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3934,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,8.72,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00095286,Sample-Routine,Water,,2013-11-12,13:10:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_3891,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,10.77,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
21GAEPD_WQX,Georgia DNR Environmental Protection Division,21GAEPD_WQX-A00097075,Sample-Routine,Water,,2013-01-23,10:15:00,EST,,,,,,,,,,,EPDAMU,,21GAEPD_WQX-RV_12_4122,,,,,GA_001,GA EPD,WPMP Stream Sampling SOP,Miscellaneous (Other),,Dissolved oxygen (DO),Dissolved,9.36,mg/L,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21GAEPD_WQX,Procedure is unknown,,,,,,,,,STORET
